cost_bps,months,cagr,cumulative_return,ir,sharpe,alpha_annual,alpha_t,beta,beta_se,max_drawdown,hit_rate,mean_traded_nav,mean_gross,min_net,max_net,max_weight,missing_positions,mean_missing_gross,max_missing_gross,model
20,68,0.040096632306970914,0.24954215172079275,-0.4359638907108463,0.12740990610835778,0.007697154113058096,0.24908594690783895,0.012792570188784137,0.05685810989112057,-0.09835942002758724,0.4411764705882353,0.9566265569445113,2.0,-0.25027848133426844,0.14786187388895644,0.022502784813342686,56,0.014314347122845907,0.07790939051623515,lasso
30,68,0.028221900532598543,0.1708254368422053,-0.5959144319320451,-0.03443731949040601,-0.003672156602537384,-0.118973693911986,0.01155760864562369,0.05712424803390433,-0.10590112596698242,0.39705882352941174,0.9571828386994109,2.0,-0.25027848133426844,0.14786187388895644,0.022502784813342686,56,0.014314347122845907,0.07790939051623515,lasso
50,68,0.004794822538418897,0.02747643136087463,-0.9118206682318064,-0.3549301183474457,-0.026452659592078882,-0.8568492758147932,0.00909338626951766,0.05773324532298981,-0.13875016716173538,0.36764705882352944,0.9583158705070728,2.0,-0.25027848133426844,0.14786187388895644,0.022502784813342686,56,0.014314347122845907,0.07790939051623515,lasso
0,68,0.06644208027368115,0.4398299921494251,-0.08569064753245459,0.49161253237647307,0.029657081482556087,0.9429402984856542,0.04177677739610177,0.054597518713662974,-0.07968539469134561,0.4411764705882353,0.9381717433503177,2.0,-0.23661087523285307,0.14786187388895644,0.022366108752328535,51,0.013065039575048482,0.07868811182985797,en
10,68,0.05455943582023903,0.3512509669192492,-0.24839053610353842,0.3292109082975866,0.01850899193679802,0.5894713233078208,0.040675639086570695,0.054517885757217485,-0.08213131188549994,0.4264705882352941,0.9386842660876556,2.0,-0.23661087523285307,0.14786187388895644,0.022366108752328535,51,0.013065039575048482,0.07868811182985797,en
20,68,0.04278270996658673,0.2679388903209472,-0.4112167816830904,0.166371961338757,0.007348330440107598,0.23423814713619487,0.039575727095127626,0.05446421819439504,-0.09603666046405135,0.4264705882352941,0.9392027089345591,2.0,-0.23661087523285307,0.14786187388895644,0.022366108752328535,51,0.013065039575048482,0.07868811182985797,en
30,68,0.03111100499231667,0.18959023848886347,-0.5739086804617303,0.003355549981118722,-0.003825113721162482,-0.12194474269937286,0.0384769713755494,0.05443655088386409,-0.11260227375883924,0.36764705882352944,0.9397272101270789,2.0,-0.23661087523285307,0.14786187388895644,0.022366108752328535,51,0.013065039575048482,0.07868811182985797,en
50,68,0.008078883892837618,0.0466519022603431,-0.8978528968131366,-0.32216963704575247,-0.026211503713975817,-0.8338403224325555,0.03628340280363675,0.054459271926500574,-0.14842890081811377,0.3382352941176471,0.9407982422685051,2.0,-0.23661087523285307,0.14786187388895644,0.022366108752328535,51,0.013065039575048482,0.07868811182985797,en
0,68,0.08870445160943241,0.6186638192458622,0.16552025915045174,0.5352045870891684,0.06307599767382623,1.1252816057675656,-0.048993283068356444,0.11751507371322321,-0.13303004233133175,0.45588235294117646,1.2794238664731146,2.0,-0.28511593578057437,0.22364074961985136,0.022851159357805746,55,0.013594909997893895,0.058735642798018746,gbm_missing
10,68,0.07218188359489863,0.484298677227865,0.023484388827059503,0.3924066354084814,0.04765272991619135,0.8478862873332398,-0.04842265896622778,0.11739267650595166,-0.16017675788322727,0.4411764705882353,1.2802576682795515,2.0,-0.28511593578057437,0.22364074961985136,0.022851159357805746,55,0.013594909997893895,0.058735642798018746,gbm_missing
