target_month,permno,ticker,company_name,weight,raw_forward,model
2025-09,19502,,,0.017814898988354387,,lasso
2025-10,88568,,,0.014726366844453154,,lasso
2025-12,14169,,,0.019364598854714265,,lasso
2026-01,85796,,,0.018954695258117573,,lasso
2026-01,86827,,,0.018954695258117573,,lasso
2026-01,75573,,,0.018954695258117573,,lasso
2026-01,18772,,,-0.021045304741882435,,lasso
2026-02,83822,,,0.017426245682166882,,lasso
2026-03,90029,,,0.01916031492794914,,lasso
2026-03,92593,,,0.01916031492794914,,lasso
2026-04,88863,,,0.019105185458903877,,lasso
2026-07,92220,,,0.017497215187019095,,lasso
2026-07,93035,,,0.017497215187019095,,lasso
2026-07,15285,,,-0.022502784813342686,,lasso
2026-08,14941,,,0.017649972875324903,,lasso
2021-02,92239,,,-0.007415325447528477,,en
2021-03,92587,,,-0.01800209479553404,,en
2021-03,92229,,,-0.01800209479553404,,en
2021-05,12089,,,0.018135324673063308,,en
2021-05,12374,,,0.01419466086649824,,en
2021-05,93393,,,-0.01865497985414217,,en
2021-05,91900,,,-0.01865497985414217,,en
2021-07,11992,,,0.010431755329189196,,en
2021-09,11896,,,0.009915992062529433,,en
2021-12,93079,,,-0.01778652713944877,,en
2021-12,92523,,,-0.00870537971626015,,en
2021-12,91854,,,-0.01778652713944877,,en
2022-02,92506,GTS,TRIPLE S MANAGEMENT CORP,-0.018576920607760304,,en
2022-04,93175,,,-0.017454607904771838,,en
2022-07,10909,,,0.02048145593790831,,en
2022-08,11343,,,0.017082307301683152,,en
2022-12,91983,,,-0.01916415276491641,,en
2023-07,20345,,,0.017344918236313126,,en
2023-10,19989,,,0.01789423313772403,,en
2023-11,21967,,,0.017405150457406194,,en
2023-12,82542,,,0.020616054543258763,,en
2024-01,81696,DISH,DISH NETWORK CORP,-0.004402154815555455,,en
2024-07,22115,,,0.019880223990393422,,en
2024-10,18566,,,0.019997065585657163,,en
2024-11,21897,,,0.013674267944972505,,en
2024-11,21121,,,0.01986979259773068,,en
2024-12,11370,,,0.020137443664225183,,en
2024-12,20834,LBPH,LONGBOARD PHARMACEUTICALS INC,-0.019862556335775182,,en
2025-02,39693,,,0.017125593437179922,,en
2025-03,92095,,,0.01919450006638799,,en
2025-05,90716,,,0.020408961021300964,,en
2025-06,91080,HEES,H & E EQUIPMENT SERVICES INC,0.020183671779443923,,en
2025-07,90885,EVRI,EVERI HOLDINGS INC,0.020397444327507862,,en
2025-08,79866,,,0.019738381948359616,,en
2025-08,84041,,,0.019738381948359616,,en
2025-09,19502,,,0.017566512617119914,,en
2025-10,88568,,,0.01632799885987845,,en
2025-12,14169,,,0.019385881755577178,,en
2026-01,85796,,,0.019344055914928986,,en
2026-01,86827,,,0.019344055914928986,,en
2026-01,75573,,,0.019344055914928986,,en
2026-01,18772,,,-0.020655944085071005,,en
2026-02,83822,,,0.016440524168782906,,en
2026-02,16560,,,0.010533218521315961,,en
2026-03,90029,,,0.019407095190341735,,en
2026-03,92593,,,0.019407095190341735,,en
2026-04,88863,,,0.016910229907761053,,en
2026-07,92220,,,0.017633891248034383,,en
2026-07,93035,,,0.017633891248034383,,en
2026-07,15285,,,-0.022366108752328535,,en
2026-08,14941,,,0.017806249786012036,,en
2021-01,13957,,,0.01665750551492076,,gbm_missing
2021-04,19567,PAND,PANDION THERAPEUTICS INC,0.017837780756706573,,gbm_missing
2021-05,85931,WDR,WADDELL & REED FINANCIAL INC,0.019119603640178277,,gbm_missing
2021-05,27043,,,0.019119603640178277,,gbm_missing
2021-10,59774,LDL,LYDALL INC,-0.018026806750491564,,gbm_missing
2021-12,92523,,,0.008695743806821879,,gbm_missing
2022-01,19199,,,0.014350682804150297,,gbm_missing
2022-01,14426,,,0.014350682804150297,,gbm_missing
2022-03,13316,,,0.018478098044402747,,gbm_missing
2022-03,76722,STFC,STATE AUTO FINANCIAL CORP,-0.02044575236517769,,gbm_missing
2022-04,89445,,,0.01818659635141423,,gbm_missing
2022-06,13169,,,0.012387661446784859,,gbm_missing
2022-06,88905,,,0.020657018715258556,,gbm_missing
2022-06,14836,,,0.020657018715258556,,gbm_missing
2022-07,76788,,,0.018187266672014535,,gbm_missing
2022-07,15507,SRRA,SIERRA ONCOLOGY INC,-0.019012989925931346,,gbm_missing
2022-07,19856,,,-0.019012989925931346,,gbm_missing
2022-09,19767,,,0.021264357202026424,,gbm_missing
2022-09,80185,,,-0.01873564279799616,,gbm_missing
2022-09,17037,,,-0.01873564279799616,,gbm_missing
2022-10,14159,,,0.020825451914115292,,gbm_missing
2022-10,82686,,,-0.019174548085888247,,gbm_missing
2022-12,19461,AKUS,AKOUOS INC,-0.019180797995138176,,gbm_missing
2023-01,20549,,,0.02046118964326669,,gbm_missing
2023-01,75107,,,0.02046118964326669,,gbm_missing
2023-02,93301,,,0.01884526428079625,,gbm_missing
2023-03,90734,,,-0.019024634208900455,,gbm_missing
2023-04,17201,,,0.010450541299293415,,gbm_missing
2023-04,20470,,,-0.01628689224372449,,gbm_missing
2023-04,17790,,,-0.01961602498813372,,gbm_missing
2023-05,91365,,,0.019265790571275733,,gbm_missing
2023-07,20870,,,-0.019352013815470172,,gbm_missing
2023-09,16557,NEX,NEXTIER OILFIELD SOLUTIONS INC,0.015698760410911953,,gbm_missing
2023-10,16068,,,-0.018854736250304625,,gbm_missing
2023-10,15071,,,-0.018854736250304625,,gbm_missing
2023-12,86544,,,0.020497355075634258,,gbm_missing
2024-01,81696,DISH,DISH NETWORK CORP,0.004689183160812377,,gbm_missing
2024-03,20441,,,0.020270076351346807,,gbm_missing
2024-03,87078,,,-0.00572519967381569,,gbm_missing
2024-04,80926,CPE,CALLON PETROLEUM CO DEL,0.008441639284052489,,gbm_missing
2024-06,19639,,,0.020343754064784173,,gbm_missing
2024-06,90194,,,0.014525206541654925,,gbm_missing
2024-08,56822,,,0.01836969416180356,,gbm_missing
2024-08,19547,CERE,CEREVEL THERAPEUTICS HLDGS INC,-0.01673043116760259,,gbm_missing
2024-12,20834,LBPH,LONGBOARD PHARMACEUTICALS INC,-0.020154272142387842,,gbm_missing
2025-07,18961,SWTX,SPRINGWORKS THERAPEUTICS INC,-0.01839402070744783,,gbm_missing
2025-09,80795,,,0.020219851829777584,,gbm_missing
2025-11,22096,,,0.014187759964449686,,gbm_missing
2025-12,26126,,,0.0031631378709062316,,gbm_missing
2025-12,89397,,,-0.018072942212371653,,gbm_missing
2026-02,13116,,,-0.011353927373678466,,gbm_missing
2026-07,15397,,,0.006775303819698485,,gbm_missing
2026-07,92502,,,-0.020779965310648463,,gbm_missing
2026-08,21096,,,0.012222644007729964,,gbm_missing
2026-08,21747,,,-0.01926549885760075,,gbm_missing
2021-01,17334,,,0.015556108680577515,,gbm_median
2021-05,27043,,,0.018361112479536923,,gbm_median
2021-05,85931,WDR,WADDELL & REED FINANCIAL INC,-0.01827058871107708,,gbm_median
2021-06,31077,,,0.016557378678738882,,gbm_median
2022-01,19199,,,0.01933092135951832,,gbm_median
2022-02,14414,,,-0.01963661104471039,,gbm_median
2022-06,88905,,,-0.018117384310873754,,gbm_median
2022-07,15507,SRRA,SIERRA ONCOLOGY INC,-0.018220544809248826,,gbm_median
2022-09,18567,,,-0.018103378902528843,,gbm_median
2022-12,19461,AKUS,AKOUOS INC,-0.01738425745734413,,gbm_median
2023-09,21894,,,-0.007483845373703592,,gbm_median
2023-09,16557,NEX,NEXTIER OILFIELD SOLUTIONS INC,-0.012336893666688631,,gbm_median
2023-12,92257,,,0.01325896961834688,,gbm_median
2023-12,86544,,,-0.01895812298937583,,gbm_median
2024-01,88949,,,0.016387973860413282,,gbm_median
2024-02,16837,,,-0.017673167337644194,,gbm_median
2024-04,91363,,,0.018823462330185434,,gbm_median
2024-06,90194,,,0.014130070231435175,,gbm_median
2024-07,21767,,,-0.019857203725794973,,gbm_median
2024-11,21897,,,0.013109906713393474,,gbm_median
2024-11,16827,,,-0.019809594739867854,,gbm_median
2024-12,11370,,,0.020457969387476557,,gbm_median
2024-12,93369,,,0.020457969387476557,,gbm_median
2024-12,20834,LBPH,LONGBOARD PHARMACEUTICALS INC,-0.01954203061252362,,gbm_median
2025-01,14763,,,0.02017811257299754,,gbm_median
